"correlation_high"	"Transcript_ID"	"Locus_ID"	"Description"	"RAP.DB.Gene.Symbol.Synonym.s."	"RAP.DB.Gene.Name.Synonym.s."	"CGSNL.Gene.Symbol"	"CGSNL.Gene.Name"	"Oryzabase.Gene.Symbol.Synonym.s."	"Oryzabase.Gene.Name.Synonym.s."	"GO"	"InterPro"	"Transcript.evidence"	"ORF.evidence"	"Curation.Date"	"Literature.PMID"	"FLcDNA.clone.ID"	"Oryzabase.Trait.Gene.ID"	"A.thaliana_gene_id"	"Reciprocal_flag"	"Type"	"Short_description"	"Curator_summary"	"Computational_description"	"gene.alias"	"Note"	"symbol"	"Alias"	"full_name"	"computational_description"	"Dbxref"	"locus_type"	"curator_summary"	"description"	"nochangenat.description"	"NormalizationGroup"
-0.6	"Os01t0867900-02"	"Os01g0867900"	"Similar to COV1-like protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Protein of unknown function DUF502 (IPR007462)"	"AK121441 (DDBJ, Best hit)"	"B4FES4 (UniProt)"	"-"	"-"	"J023140N15"	"-"	"AT1G43130.2"	"1"	"protein_coding"	"like COV 2"	"NULL"	"like COV 2 (LCV2); CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF502 (InterPro:IPR007462); BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF502) (TAIR:AT2G20120.1)"	"LCV2"	"like COV 2"	"LCV2"	"-"	"like COV 2"	"like COV 2 (LCV2)%3B CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF502 (InterPro:IPR007462)%3B BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF502) (TAIR:AT2G20120.1)%3B Has 2432 Blast hits to 2432 proteins in 576 species: Archae - 20%3B Bacteria - 1089%3B Metazoa - 1%3B Fungi - 0%3B Plants - 154%3B Viruses - 0%3B Other Eukaryotes - 1168 (source: NCBI BLink)."	"\"PMID:12668628,locus:2018640\""	"protein_coding"	"-"	"-"	"-"	"data"
-0.6	"Os01t0612600-01"	"Os01g0612600"	"Protein of unknown function DUF1644 family protein."	"-"	"-"	"-"	"-"	"-"	"DUF1644 family protein"	"-"	"Protein of unknown function DUF1644 (IPR012866)"	"AK066561 (DDBJ, Best hit), AK062906 (DDBJ, Best hit)"	"B8ABU8 (UniProt)"	"-"	"-"	"J013073D14, 001-108-F10"	"19991"	"AT3G25910.1"	"2"	"protein_coding"	"Protein of unknown function (DUF1644)"	"NULL"	"\"FUNCTIONS IN: zinc ion binding; INVOLVED IN: biological_process unknown; LOCATED IN: intracellular; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, C2H2-like (InterPro:IPR015880), Protein of unknown function DUF1644 (InterPro:IPR012866); BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF1644) (TAIR:AT3G24740.2)\""	"-"	"MAP kinase kinase kinase%2C putative (DUF1644)"	"-"	"-"	"-"	"FUNCTIONS IN: zinc ion binding%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: intracellular%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: Zinc finger%2C C2H2-like (InterPro:IPR015880)%2C Protein of unknown function DUF1644 (InterPro:IPR012866)%3B BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF1644) (TAIR:AT3G24740.2)%3B Has 1139 Blast hits to 687 proteins in 95 species: Archae - 0%3B Bacteria - 20%3B Metazoa - 459%3B Fungi - 70%3B Plants - 423%3B Viruses - 6%3B Other Eukaryotes - 161 (source: NCBI BLink)."	"\"PMID:18650403,PMID:18775970,locus:2092140\""	"protein_coding"	"-"	"-"	"-"	"data"
-0.6	"Os03t0133400-01"	"Os03g0133400"	"Peptidoglycan-binding Lysin subgroup domain containing protein."	"-"	"-"	"CEBiP"	"CHITIN ELICITOR BINDING PROTEIN"	"CEBIP, Os-LYP1, LYP1, OsCEBiP"	"Chitin elicitor-binding protein, chitin-elicitor binding protein, lysin motif-containing protein 1, chitin oligosaccharide elicitor-binding protein"	"Biological Process: cell wall macromolecule catabolic process (GO:0016998)"	"Peptidoglycan-binding Lysin subgroup (IPR002482), Peptidoglycan-binding lysin domain (IPR018392)"	"AK073032 (DDBJ, Best hit)"	"Q8H8C7 (UniProt)"	"-"	"-"	"J023146H06"	"7114"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
-0.6	"Os01t0692700-01"	"Os01g0692700"	"Similar to Protein binding protein."	"-"	"-"	"-"	"-"	"OsRFPH2-23"	"RING finger protein OsRFPH2-23, RING-H2 protein 23"	"-"	"-"	"AK065626 (DDBJ, Best hit)"	"B6T287 (UniProt)"	"-"	"-"	"J013028F14"	"11784"	"AT1G17970.2"	"2"	"protein_coding"	"RING/U-box superfamily protein"	"NULL"	"\"RING/U-box superfamily protein; FUNCTIONS IN: zinc ion binding; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, RING-type (InterPro:IPR001841), Zinc finger, C3HC4 RING-type (InterPro:IPR018957); BEST Arabidopsis thaliana protein match is: RING/U-box superfamily protein (TAIR:AT1G73760.1)\""	"-"	"RING/U-box superfamily protein"	"-"	"-"	"-"	"RING/U-box superfamily protein%3B FUNCTIONS IN: zinc ion binding%3B EXPRESSED IN: 20 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Zinc finger%2C RING-type (InterPro:IPR001841)%2C Zinc finger%2C C3HC4 RING-type (InterPro:IPR018957)%3B BEST Arabidopsis thaliana protein match is: RING/U-box superfamily protein (TAIR:AT1G73760.1)%3B Has 8802 Blast hits to 8789 proteins in 273 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 2364%3B Fungi - 695%3B Plants - 4341%3B Viruses - 10%3B Other Eukaryotes - 1392 (source: NCBI BLink)."	"\"PMID:11983057,PMID:16299171,PMID:20736450,locus:2030933\""	"protein_coding"	"-"	"-"	"-"	"data"
-0.59	"Os01t0507000-02"	"Os01g0507000"	"Conserved hypothetical protein."	"-"	"-"	"MIR159A"	"MICRORNA159A"	"miR159a, osa-miR159a, osa-MIR159a, OsmiR159a.2, miR159a.2, OsmiR159a.1, miR159a.1, osa-miR159a.1, osa-miR159a.2"	"-"	"-"	"-"	"AK100209 (DDBJ, Best hit)"	"A6MZH8 (UniProt)"	"-"	"-"	"J023042P20"	"8533"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
-0.59	"Os09t0478600-01"	"Os09g0478600"	"Zinc finger, RING/FYVE/PHD-type domain containing protein."	"-"	"-"	"-"	"-"	"-"	"-"	"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"	"Zinc finger, RING-type (IPR001841), Zinc finger, RING/FYVE/PHD-type (IPR013083), Zinc finger, C3HC4 RING-type (IPR018957)"	"AK109529 (DDBJ, Best hit)"	"NP_001151741.1 (RefSeq)"	"-"	"-"	"002-116-D09"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
-0.59	"Os01t0663800-01"	"Os01g0663800"	"Protein of unknown function DUF1296 family protein."	"-"	"-"	"-"	"-"	"-"	"Finger zinc testis metal-binding protein"	"Molecular Function: protein binding (GO:0005515)"	"UBA-like (IPR009060), Protein of unknown function DUF1296 (IPR009719)"	"AK102816 (DDBJ, Best hit)"	"B8A764 (UniProt)"	"-"	"-"	"J033108M16"	"15993"	"AT1G29370.1"	"1"	"protein_coding"	"Kinase-related protein of unknown function (DUF1296)"	"NULL"	"Kinase-related protein of unknown function (DUF1296); CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1296 (InterPro:IPR009719); BEST Arabidopsis thaliana protein match is: Kinase-related protein of unknown function (DUF1296) (TAIR:AT1G29350.1)"	"-"	"RNA polymerase II degradation factor-like protein (DUF1296)"	"-"	"-"	"-"	"Kinase-related protein of unknown function (DUF1296)%3B CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1296 (InterPro:IPR009719)%3B BEST Arabidopsis thaliana protein match is: Kinase-related protein of unknown function (DUF1296) (TAIR:AT1G29350.1)%3B Has 14234 Blast hits to 8102 proteins in 480 species: Archae - 0%3B Bacteria - 599%3B Metazoa - 5712%3B Fungi - 1715%3B Plants - 1064%3B Viruses - 60%3B Other Eukaryotes - 5084 (source: NCBI BLink)."	"\"PMID:20736450,locus:2013713\""	"protein_coding"	"-"	"-"	"-"	"data"
-0.59	"Os12t0460800-01"	"Os12g0460800"	"LAMMER kinase-type protein, Positive regulator of disease resistance"	"OsDR11, OsDR11S, OsDR11L, OsAFC2, AFC2"	"serine/threonin-protein kinase AFC2"	"-"	"-"	"OsAFC2, AFC2, OsDR11, DR11, OsDR11L, OsDR11S"	"serine/threonin-protein kinase AFC2"	"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524)"	"Protein kinase-like domain (IPR011009), Protein kinase domain (IPR000719)"	"AK066287"	"A0A0P0YA82"	"-"	"27621422"	"J013064I06"	"20293"	"AT3G53570.1"	"1"	"protein_coding"	"FUS3-complementing gene 1"	"\"a  member of a CDC2-related kinase subfamily,  the LAMMER kinases. activates STE12-dependent functions in yeast.\""	"\"FUS3-complementing gene 1 (FC1); CONTAINS InterPro DOMAIN/s: Protein kinase, catalytic domain (InterPro:IPR000719), Serine/threonine-protein kinase domain (InterPro:IPR002290), Tyrosine-protein kinase, catalytic domain (InterPro:IPR020635), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Serine/threonine-protein kinase, active site (InterPro:IPR008271), Protein kinase-like domain (InterPro:IPR011009); BEST Arabidopsis thaliana protein match is: FUS3-complementing gene 2 (TAIR:AT4G24740.1)\""	"\"AFC1,AME2,FC1\""	"serine/threonine-protein kinase AFC1"	"FC1"	"\"AFC1,FUS3-complementing gene 1,AME2\""	"FUS3-complementing gene 1"	"FUS3-complementing gene 1 (FC1)%3B CONTAINS InterPro DOMAIN/s: Protein kinase%2C catalytic domain (InterPro:IPR000719)%2C Serine/threonine-protein kinase domain (InterPro:IPR002290)%2C Tyrosine-protein kinase%2C catalytic domain (InterPro:IPR020635)%2C Serine/threonine-protein kinase-like domain (InterPro:IPR017442)%2C Serine/threonine-protein kinase%2C active site (InterPro:IPR008271)%2C Protein kinase-like domain (InterPro:IPR011009)%3B BEST Arabidopsis thaliana protein match is: FUS3-complementing gene 2 (TAIR:AT4G24740.1)%3B Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798%3B Bacteria - 22429%3B Metazoa - 974%3B Fungi - 991%3B Plants - 531%3B Viruses - 0%3B Other Eukaryotes - 9610 (source: NCBI BLink)."	"\"PMID:7991592,PMID:15500472,PMID:18775970,PMID:21477822,locus:2084006\""	"protein_coding"	"a  member of a CDC2-related kinase subfamily%2C  the LAMMER kinases. activates STE12-dependent functions in yeast."	"-"	"-"	"data"
-0.58	"Os03t0117050-01"	"Os03g0117050"	"Non-protein coding transcript."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AK241608 (DDBJ, Best hit)"	"NONE"	"-"	"-"	"J065185I10"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
-0.57	"Os03t0125600-01"	"Os03g0125600"	"Ser Thr specific protein kinase-like protein."	"-"	"-"	"-"	"-"	"-"	"-"	"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"	"Protein kinase, catalytic domain (IPR000719), Serine/threonine-protein kinase, catalytic  domain (IPR002290), Serine/threonine-protein kinase, active site (IPR008271), Protein kinase-like domain (IPR011009), Protein kinase, ATP binding site (IPR017441), Serine/threonine-protein kinase-like domain (IPR017442), Tyrosine-protein kinase, catalytic domain (IPR020635)"	"AK243600 (DDBJ, Best hit)"	"Q10SE3 (UniProt)"	"-"	"-"	"J100084O08"	"-"	"AT1G01540.2"	"2"	"protein_coding"	"Protein kinase superfamily protein"	"NULL"	"\"Protein kinase superfamily protein; FUNCTIONS IN: protein serine/threonine kinase activity, protein kinase activity, kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Serine/threonine-protein kinase domain (InterPro:IPR002290), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271), Protein kinase, catalytic domain (InterPro:IPR000719), Tyrosine-protein kinase, catalytic domain (InterPro:IPR020635); BEST Arabidopsis thaliana protein match is: Protein kinase superfamily protein (TAIR:AT4G01330.1)\""	"-"	"Protein kinase superfamily protein"	"-"	"-"	"-"	"Protein kinase superfamily protein%3B FUNCTIONS IN: protein serine/threonine kinase activity%2C protein kinase activity%2C kinase activity%2C ATP binding%3B INVOLVED IN: protein amino acid phosphorylation%3B LOCATED IN: plasma membrane%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Protein kinase%2C ATP binding site (InterPro:IPR017441)%2C Serine/threonine-protein kinase domain (InterPro:IPR002290)%2C Serine/threonine-protein kinase-like domain (InterPro:IPR017442)%2C Serine/threonine-protein kinase%2C active site (InterPro:IPR008271)%2C Protein kinase-like domain (InterPro:IPR011009)%2C Protein kinase%2C catalytic domain (InterPro:IPR000719)%2C Tyrosine-protein kinase%2C catalytic domain (InterPro:IPR020635)%3B BEST Arabidopsis thaliana protein match is: Protein kinase superfamily protein (TAIR:AT4G01330.2)%3B Has 117942 Blast hits to 116606 proteins in 4399 species: Archae - 110%3B Bacteria - 14062%3B Metazoa - 43660%3B Fungi - 9737%3B Plants - 32599%3B Viruses - 442%3B Other Eukaryotes - 17332 (source: NCBI BLink)."	"\"PMID:12368499,PMID:21477822,locus:2025396\""	"protein_coding"	"-"	"-"	"-"	"data"
-0.57	"Os01t0881300-02"	"Os01g0881300"	"MtN3 and saliva related transmembrane protein family protein."	"-"	"-"	"SWEET1A"	"SWEET1A"	"OsSWEET1a, SWEET1a"	"-"	"Cellular Component: integral to membrane (GO:0016021)"	"RAG1-activating protein-1-related (IPR004316)"	"AK067960 (DDBJ, Best hit), AK099531 (DDBJ, Best hit)"	"Q8RZQ8 (UniProt)"	"-"	"-"	"J013123F10, J013031J21"	"9088"	"AT1G21460.1"	"2"	"protein_coding"	"Nodulin MtN3 family protein"	"NULL"	"\"Nodulin MtN3 family protein; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system, integral to membrane, membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: MtN3/saliva-related transmembrane protein, conserved region (InterPro:IPR018169), RAG1-activating protein 1 homologue (InterPro:IPR018179), RAG1-activating protein-1-related (InterPro:IPR004316); BEST Arabidopsis thaliana protein match is: Nodulin MtN3 family protein (TAIR:AT5G53190.1)\""	"\"AtSWEET1,SWEET1\""	"Nodulin MtN3 family protein"	"SWEET1"	"-"	"-"	"Nodulin MtN3 family protein%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: endomembrane system%2C integral to membrane%2C membrane%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: MtN3/saliva-related transmembrane protein%2C conserved region (InterPro:IPR018169)%2C RAG1-activating protein 1 homologue (InterPro:IPR018179)%2C RAG1-activating protein-1-related (InterPro:IPR004316)%3B BEST Arabidopsis thaliana protein match is: Nodulin MtN3 family protein (TAIR:AT5G53190.1)%3B Has 988 Blast hits to 930 proteins in 114 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 221%3B Fungi - 0%3B Plants - 643%3B Viruses - 0%3B Other Eukaryotes - 124 (source: NCBI BLink)."	"\"PMID:15047901,PMID:17064408,PMID:18775970,PMID:20736450,PMID:22253225,PMID:22157085,PMID:24027245,locus:2026997\""	"protein_coding"	"-"	"-"	"-"	"data"
-0.56	"Os01t0915600-01"	"Os01g0915600"	"Similar to TA1 protein (Fragment)."	"-"	"-"	"-"	"-"	"OsbHLH090"	"basic helix-loop-helix protein 090"	"-"	"Helix-loop-helix DNA-binding (IPR011598)"	"AK101063 (DDBJ, Best hit)"	"Q70KS8 (UniProt)"	"-"	"-"	"J033022O19"	"15377"	"AT3G07340.2"	"1"	"protein_coding"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"NULL"	"\"basic helix-loop-helix (bHLH) DNA-binding superfamily protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: nucleus, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT5G48560.1)\""	"CIB3"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"-"	"\"CIB3,CRY2-interacting bHLH 3\""	"-"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein%3B FUNCTIONS IN: DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: regulation of transcription%3B LOCATED IN: nucleus%2C chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 11 growth stages%3B CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092)%2C Helix-loop-helix DNA-binding (InterPro:IPR011598)%3B BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT5G48560.1)%3B Has 2639 Blast hits to 2308 proteins in 133 species: Archae - 0%3B Bacteria - 4%3B Metazoa - 62%3B Fungi - 52%3B Plants - 2177%3B Viruses - 0%3B Other Eukaryotes - 344 (source: NCBI BLink)."	"\"PMID:11118137,PMID:12679534,PMID:12897250,PMID:14600211,PMID:16121258,PMID:20736450,PMID:24130508,locus:2079676\""	"protein_coding"	"-"	"-"	"-"	"data"
-0.56	"Os09t0571200-01"	"Os09g0571200"	"C2 domain containing protein."	"-"	"-"	"-"	"-"	"-"	"-"	"Molecular Function: protein binding (GO:0005515)"	"C2 calcium-dependent membrane targeting (IPR000008), C2 calcium/lipid-binding domain, CaLB (IPR008973), C2 membrane targeting protein (IPR018029)"	"AK062604 (DDBJ, Best hit)"	"B6TT83 (UniProt)"	"-"	"-"	"001-105-A01"	"-"	"AT5G23950.2"	"1"	"protein_coding"	"Calcium-dependent lipid-binding (CaLB domain) family protein"	"NULL"	"\"Calcium-dependent lipid-binding (CaLB domain) family protein; CONTAINS InterPro DOMAIN/s: C2 calcium/lipid-binding domain, CaLB (InterPro:IPR008973), C2 calcium-dependent membrane targeting (InterPro:IPR000008); BEST Arabidopsis thaliana protein match is: Calcium-dependent lipid-binding (CaLB domain) family protein (TAIR:AT1G07310.1)\""	"-"	"Calcium-dependent lipid-binding (CaLB domain) family protein"	"-"	"-"	"-"	"Calcium-dependent lipid-binding (CaLB domain) family protein%3B CONTAINS InterPro DOMAIN/s: C2 calcium/lipid-binding domain%2C CaLB (InterPro:IPR008973)%2C C2 calcium-dependent membrane targeting (InterPro:IPR000008)%3B BEST Arabidopsis thaliana protein match is: Calcium-dependent lipid-binding (CaLB domain) family protein (TAIR:AT1G07310.1)%3B Has 7173 Blast hits to 1801 proteins in 194 species: Archae - 14%3B Bacteria - 856%3B Metazoa - 2022%3B Fungi - 1141%3B Plants - 806%3B Viruses - 64%3B Other Eukaryotes - 2270 (source: NCBI BLink)."	"locus:2172828"	"protein_coding"	"-"	"-"	"-"	"data"
-0.56	"Os08t0138500-01"	"Os08g0138500"	"bHLH transcription factor, Regulation of iron homeostasis"	"OsPRI1"	"POSITIVE REGULATOR OF IRON HOMEOSTASIS1"	"-"	"-"	"OsbHLH060, bHLH060, bHLH60, OsPRI1, PRI1"	"basic helix-loop-helix protein 060, POSITIVE REGULATOR OF IRON HOMEOSTASIS1, POSITIVE REGULATOR OF IRON HOMEOSTASIS 1"	"Molecular Function: protein dimerization activity (GO:0046983)"	"Myc-type, basic helix-loop-helix (bHLH) domain (IPR011598)"	"AK102951, HQ858852"	"Q6ZKI8"	"-"	"28751317"	"J033115D14"	"15350"	"AT1G51070.2"	"1"	"protein_coding"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"NULL"	"\"basic Helix-Loop-Helix 115 (bHLH115); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: nucleus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT5G54680.1).\""	"bHLH115"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"bHLH115"	"-"	"basic Helix-Loop-Helix 115"	"basic Helix-Loop-Helix 115 (bHLH115)%3B FUNCTIONS IN: DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: regulation of transcription%3B LOCATED IN: nucleus%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092)%2C Helix-loop-helix DNA-binding (InterPro:IPR011598)%3B BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT5G54680.1)%3B Has 799 Blast hits to 780 proteins in 147 species: Archae - 10%3B Bacteria - 89%3B Metazoa - 90%3B Fungi - 16%3B Plants - 475%3B Viruses - 2%3B Other Eukaryotes - 117 (source: NCBI BLink)."	"\"PMID:11118137,PMID:12679534,PMID:12897250,PMID:14600211,PMID:16920880,PMID:20675571,PMID:24377444,locus:2026027\""	"protein_coding"	"-"	"-"	"-"	"data"
-0.56	"Os09t0525900-01"	"Os09g0525900"	"Peptidase S54, rhomboid domain containing protein."	"-"	"-"	"-"	"-"	"OsRhmbd16, RHMBD16"	"Rhomboid 16, RHOMBOID 16"	"Biological Process: proteolysis (GO:0006508), Cellular Component: integral to membrane (GO:0016021), Molecular Function: serine-type endopeptidase activity (GO:0004252)"	"Peptidase S54, rhomboid (IPR002610), Peptidase S54, rhomboid domain (IPR022764)"	"AK071290 (DDBJ, Best hit), AK059988 (DDBJ, Best hit)"	"A6MD08 (UniProt)"	"-"	"-"	"J023087M04, 006-212-H11"	"20072"	"AT5G07250.1"	"2"	"protein_coding"	"RHOMBOID-like protein 3"	"NULL"	"\"RHOMBOID-like protein 3 (RBL3); FUNCTIONS IN: serine-type endopeptidase activity; LOCATED IN: integral to membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase S54, rhomboid (InterPro:IPR002610); BEST Arabidopsis thaliana protein match is: RHOMBOID-like 2 (TAIR:AT1G63120.1)\""	"\"ATRBL3,RBL3\""	"RHOMBOID-like protein 3"	"RBL3"	"\"ATRBL3,RHOMBOID-like protein 3\""	"RHOMBOID-like protein 3"	"RHOMBOID-like protein 3 (RBL3)%3B FUNCTIONS IN: serine-type endopeptidase activity%3B LOCATED IN: integral to membrane%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: Peptidase S54%2C rhomboid (InterPro:IPR002610)%3B BEST Arabidopsis thaliana protein match is: RHOMBOID-like 2 (TAIR:AT1G63120.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink)."	"\"PMID:16223493,PMID:16895613,PMID:17181860,PMID:18543065,PMID:18805951,PMID:18775970,locus:2182925\""	"protein_coding"	"-"	"-"	"-"	"data"
-0.55	"Os03t0835150-01"	"Os03g0835150"	"Conserved hypothetical protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AK243368 (DDBJ, Best hit)"	"NP_001173702.1 (RefSeq)"	"-"	"-"	"J100062B07"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
