"Transcript_ID","Locus_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","FLcDNA.clone.ID","Oryzabase.Trait.Gene.ID","A.thaliana_gene_id","Reciprocal_flag","Type","Short_description","Curator_summary","Computational_description","gene.alias","Note","symbol","Alias","full_name","computational_description","Dbxref","locus_type","curator_summary","description","nochangenat.description","NormalizationGroup"
"Os06t0716750-00","Os06g0716750","Hypothetical gene.","-","-","-","-","-","-","-","-","BT016887 (DDBJ)","longestORF","-","-","-","-","AT4G24190.1","1","protein_coding","Chaperone protein htpG family protein","""encodes an ortholog of GRP94, an ER-resident HSP90-like protein and is involved in regulation of meristem size and organization. Single and double mutant analyses suggest that SHD may be required for the correct folding and/or complex formation of CLV proteins. Lines carrying recessive mutations in this locus exhibits expanded shoot meristems, disorganized root meristems, and defective pollen tube elongation. Transcript is detected in all tissues examined and is not induced by heat.  Endoplasmin supports the protein secretory pathway and has a role in proliferating tissues.""","""SHEPHERD (SHD); FUNCTIONS IN: unfolded protein binding, ATP binding; INVOLVED IN: in 8 processes; LOCATED IN: in 7 components; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: Chaperone protein htpG (InterPro:IPR001404), Heat shock protein Hsp90, C-terminal (InterPro:IPR020576), Heat shock protein Hsp90, N-terminal (InterPro:IPR020575), Molecular chaperone, heat shock protein, endoplasmin (InterPro:IPR015566), ATPase-like, ATP-binding domain (InterPro:IPR003594), Heat shock protein Hsp90, conserved site (InterPro:IPR019805), Ribosomal protein S5 domain 2-type fold (InterPro:IPR020568); BEST Arabidopsis thaliana protein match is: heat shock protein 90.1 (TAIR:AT5G52640.1)""","""AtHsp90-7,AtHsp90.7,HSP90.7,SHD""","Chaperone protein htpG family protein","SHD","""AtHsp90-7,HEAT SHOCK PROTEIN 90-7,AtHsp90.7,HEAT SHOCK PROTEIN 90.7,HSP90.7,HEAT SHOCK PROTEIN 90.7""","SHEPHERD","SHEPHERD (SHD)%3B FUNCTIONS IN: unfolded protein binding%2C ATP binding%3B INVOLVED IN: in 8 processes%3B LOCATED IN: in 7 components%3B EXPRESSED IN: 25 plant structures%3B EXPRESSED DURING: 16 growth stages%3B CONTAINS InterPro DOMAIN/s: Chaperone protein htpG (InterPro:IPR001404)%2C Heat shock protein Hsp90%2C C-terminal (InterPro:IPR020576)%2C Heat shock protein Hsp90%2C N-terminal (InterPro:IPR020575)%2C Molecular chaperone%2C heat shock protein%2C endoplasmin (InterPro:IPR015566)%2C ATPase-like%2C ATP-binding domain (InterPro:IPR003594)%2C Heat shock protein Hsp90%2C conserved site (InterPro:IPR019805)%2C Ribosomal protein S5 domain 2-type fold (InterPro:IPR020568)%3B BEST Arabidopsis thaliana protein match is: heat shock protein 90.1 (TAIR:AT5G52640.1)%3B Has 10659 Blast hits to 10182 proteins in 2496 species: Archae - 7%3B Bacteria - 3605%3B Metazoa - 2791%3B Fungi - 470%3B Plants - 491%3B Viruses - 10%3B Other Eukaryotes - 3285 (source: NCBI BLink).","""PMID:11867518,PMID:14617066,PMID:14671022,PMID:16618929,PMID:17059403,PMID:18650403,PMID:18849477,PMID:19148673,PMID:20118269,PMID:20493581,PMID:20736450,PMID:21798377,PMID:25297550,locus:2135887""","protein_coding","encodes an ortholog of GRP94%2C an ER-resident HSP90-like protein and is involved in regulation of meristem size and organization. Single and double mutant analyses suggest that SHD may be required for the correct folding and/or complex formation of CLV proteins. Lines carrying recessive mutations in this locus exhibits expanded shoot meristems%2C disorganized root meristems%2C and defective pollen tube elongation. Transcript is detected in all tissues examined and is not induced by heat.  Endoplasmin supports the protein secretory pathway and has a role in proliferating tissues.","-","-","data"
"Os07t0246200-03","Os07g0246200","Similar to calreticulin2.","-","-","-","-","CRO1, CRT","calreticulin 1, calreticulin","Biological Process: protein folding (GO:0006457), Cellular Component: endoplasmic reticulum (GO:0005783), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: unfolded protein binding (GO:0051082)","Calreticulin/calnexin (IPR001580), Concanavalin A-like lectin/glucanase (IPR008985), Calreticulin/calnexin, P (IPR009033), Calreticulin (IPR009169), Concanavalin A-like lectin/glucanase, subgroup (IPR013320), Calreticulin/calnexin, conserved site (IPR018124)","AK104328 (DDBJ, Best hit)","NP_001105712.1 (RefSeq)","-","-","001-028-H03","13849","AT1G56340.1","2","protein_coding","calreticulin 1a","""Encodes one of three Arabidopsis calreticulins.   In CRT-deficient mouse fibroblasts, this protein restores ER Ca2+ levels.""","""calreticulin 1a (CRT1a); FUNCTIONS IN: unfolded protein binding, calcium ion binding; INVOLVED IN: response to oxidative stress, response to cadmium ion, response to salt stress, calcium ion homeostasis; LOCATED IN: mitochondrion, endoplasmic reticulum, plasma membrane, chloroplast; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Calreticulin/calnexin, P (InterPro:IPR009033), Calreticulin/calnexin (InterPro:IPR001580), Calreticulin/calnexin, conserved site (InterPro:IPR018124), Calreticulin (InterPro:IPR009169), Concanavalin A-like lectin/glucanase, subgroup (InterPro:IPR013320), Concanavalin A-like lectin/glucanase (InterPro:IPR008985); BEST Arabidopsis thaliana protein match is: calreticulin 1b (TAIR:AT1G09210.1)""","""AtCRT1a,CRT1,CRT1a""","calreticulin 1a","CRT1a","""AtCRT1a,CRT1,calreticulin 1""","calreticulin 1a","calreticulin 1a (CRT1a)%3B FUNCTIONS IN: unfolded protein binding%2C calcium ion binding%3B INVOLVED IN: response to oxidative stress%2C response to cadmium ion%2C response to salt stress%2C calcium ion homeostasis%3B LOCATED IN: mitochondrion%2C endoplasmic reticulum%2C plasma membrane%2C chloroplast%3B EXPRESSED IN: 27 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Calreticulin/calnexin%2C P (InterPro:IPR009033)%2C Calreticulin/calnexin (InterPro:IPR001580)%2C Calreticulin/calnexin%2C conserved site (InterPro:IPR018124)%2C Calreticulin (InterPro:IPR009169)%2C Concanavalin A-like lectin/glucanase%2C subgroup (InterPro:IPR013320)%2C Concanavalin A-like lectin/glucanase (InterPro:IPR008985)%3B BEST Arabidopsis thaliana protein match is: calreticulin 1b (TAIR:AT1G09210.1)%3B Has 12789 Blast hits to 7186 proteins in 689 species: Archae - 27%3B Bacteria - 946%3B Metazoa - 4832%3B Fungi - 1301%3B Plants - 669%3B Viruses - 333%3B Other Eukaryotes - 4681 (source: NCBI BLink).","""PMID:9159940,PMID:12492832,PMID:12481097,PMID:14671022,PMID:15047901,PMID:15618420,PMID:14563927,PMID:15908592,PMID:15978049,PMID:16242667,PMID:16381965,PMID:16403842,PMID:16502469,PMID:16618929,PMID:16679420,PMID:16927206,PMID:16905657,PMID:17092311,PMID:18156219,PMID:18296626,PMID:18775970,PMID:18931141,PMID:19597144,PMID:20596537,PMID:21798377,PMID:21974727,PMID:22041935,PMID:23425854,PMID:23469135,PMID:24022063,locus:2010723""","protein_coding","Encodes one of three Arabidopsis calreticulins.   In CRT-deficient mouse fibroblasts%2C this protein restores ER Ca2+ levels.","-","-","data"
"Os07t0615400-01","Os07g0615400","Similar to Oligouridylate binding protein.","-","-","-","-","-","-","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)","RNA recognition motif domain (IPR000504), Nucleotide-binding, alpha-beta plait (IPR012677)","AK119233 (DDBJ, Best hit), AK103536 (DDBJ, Best hit)","Q2XPV3 (UniProt)","-","-","001-114-E11, J033132B05","-","AT1G54080.1","1","protein_coding","oligouridylate-binding protein 1A","NULL","""oligouridylate-binding protein 1A (UBP1A); FUNCTIONS IN: mRNA 3'-UTR binding; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677); BEST Arabidopsis thaliana protein match is: RNA-binding (RRM/RBD/RNP motifs) family protein (TAIR:AT3G14100.1)""","UBP1A","oligouridylate-binding protein 1A","UBP1A","-","oligouridylate-binding protein 1A","oligouridylate-binding protein 1A (UBP1A)%3B FUNCTIONS IN: mRNA 3'-UTR binding%3B LOCATED IN: plasma membrane%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: RNA recognition motif%2C RNP-1 (InterPro:IPR000504)%2C Nucleotide-binding%2C alpha-beta plait (InterPro:IPR012677)%3B BEST Arabidopsis thaliana protein match is: RNA-binding (RRM/RBD/RNP motifs) family protein (TAIR:AT3G14100.1)%3B Has 26408 Blast hits to 16156 proteins in 1551 species: Archae - 2%3B Bacteria - 177%3B Metazoa - 9876%3B Fungi - 6429%3B Plants - 6014%3B Viruses - 0%3B Other Eukaryotes - 3910 (source: NCBI BLink).","""PMID:10747031,PMID:16615871,PMID:18775970,PMID:20687615,PMID:21120628,locus:2014340""","protein_coding","-","-","-","data"
"Os07t0627800-01","Os07g0627800","Similar to DRG-like OBG family GTpase fused to an RNA binding domain TGS domain, Fun11p.","-","-","-","-","-","-","Cellular Component: intracellular (GO:0005622), Molecular Function: GTP binding (GO:0005525)","GTP-binding domain, HSR1-related (IPR002917), TGS (IPR004095), Small GTP-binding protein domain (IPR005225), GTP1/OBG (IPR006073), GTP1/OBG, conserved site (IPR006074), TGS-like (IPR012676)","AK066361 (DDBJ, Best hit)","NP_001149773.1 (RefSeq)","-","-","J013063L05","-","AT4G39520.1","2","protein_coding","GTP-binding protein-related","Encodes a member of the DRG (developmentally regulated G-protein) family.  Has GTPase activity.","""GTP-binding protein-related; FUNCTIONS IN: GDP binding, GTP binding, GTPase activity; LOCATED IN: intracellular; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Small GTP-binding protein (InterPro:IPR005225), TGS (InterPro:IPR004095), GTP1/OBG (InterPro:IPR006073), GTP1/OBG, conserved site (InterPro:IPR006074), GTP-binding protein, HSR1-related (InterPro:IPR002917); BEST Arabidopsis thaliana protein match is: developmentally regulated G-protein 1 (TAIR:AT1G17470.2)""","Drg1-1","GTP-binding protein-like protein","-","Drg1-1","-","GTP-binding protein-related%3B FUNCTIONS IN: GDP binding%2C GTP binding%2C GTPase activity%3B LOCATED IN: intracellular%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: Small GTP-binding protein (InterPro:IPR005225)%2C TGS (InterPro:IPR004095)%2C GTP1/OBG (InterPro:IPR006073)%2C GTP1/OBG%2C conserved site (InterPro:IPR006074)%2C GTP-binding protein%2C HSR1-related (InterPro:IPR002917)%3B BEST Arabidopsis thaliana protein match is: developmentally regulated G-protein 1 (TAIR:AT1G17470.2)%3B Has 19252 Blast hits to 19228 proteins in 2957 species: Archae - 773%3B Bacteria - 12312%3B Metazoa - 831%3B Fungi - 661%3B Plants - 370%3B Viruses - 0%3B Other Eukaryotes - 4305 (source: NCBI BLink).","""PMID:15272872,PMID:16113224,PMID:16623895,PMID:18775970,PMID:19460440,PMID:25566271,locus:2122536""","protein_coding","Encodes a member of the DRG (developmentally regulated G-protein) family.  Has GTPase activity.","-","-","data"
"Os07t0633200-02","Os07g0633200","Similar to SC35-like splicing factor SCL30a, 30a kD.","-","-","-","-","-","-","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)","RNA recognition motif domain (IPR000504), Nucleotide-binding, alpha-beta plait (IPR012677)","AK061338 (DDBJ, Best hit)","B6U7F9 (UniProt)","-","-","006-303-C11","-","AT3G13570.1","1","protein_coding","SC35-like splicing factor 30A","""encodes an SC35-like splicing factor of 30 kD that is localized to the nuclear specks. Barta et al (2010) have proposed a nomenclature for Serine/Arginine-Rich Protein Splicing Factors (SR proteins): Plant Cell. 2010, 22:2926.""","""SC35-like splicing factor 30A (SCL30A); FUNCTIONS IN: RNA binding, nucleotide binding, nucleic acid binding; INVOLVED IN: nuclear mRNA splicing, via spliceosome, RNA splicing; LOCATED IN: nuclear speck; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677); BEST Arabidopsis thaliana protein match is: SC35-like splicing factor 33 (TAIR:AT1G55310.3)""","""At-SCL30A,SCL30A""","SC35-like splicing factor 30A","SCL30A","""At-SCL30A,SC35-like splicing factor 30A""","SC35-like splicing factor 30A","SC35-like splicing factor 30A (SCL30A)%3B FUNCTIONS IN: RNA binding%2C nucleotide binding%2C nucleic acid binding%3B INVOLVED IN: nuclear mRNA splicing%2C via spliceosome%2C RNA splicing%3B LOCATED IN: nuclear speck%3B EXPRESSED IN: 26 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: RNA recognition motif%2C RNP-1 (InterPro:IPR000504)%2C Nucleotide-binding%2C alpha-beta plait (InterPro:IPR012677)%3B BEST Arabidopsis thaliana protein match is: SC35-like splicing factor 33 (TAIR:AT1G55310.3)%3B Has 39411 Blast hits to 22154 proteins in 1003 species: Archae - 84%3B Bacteria - 1991%3B Metazoa - 19033%3B Fungi - 3968%3B Plants - 4828%3B Viruses - 731%3B Other Eukaryotes - 8776 (source: NCBI BLink).","""PMID:12176998,PMID:14576160,PMID:15133128,PMID:15270675,PMID:16367961,PMID:16497658,PMID:16520337,PMID:16807317,PMID:17556373,PMID:17712600,PMID:18402682,PMID:18650403,PMID:18775970,PMID:20884799,PMID:21935421,PMID:22913769,PMID:25268622,locus:2086804""","protein_coding","encodes an SC35-like splicing factor of 30 kD that is localized to the nuclear specks. Barta et al (2010) have proposed a nomenclature for Serine/Arginine-Rich Protein Splicing Factors (SR proteins): Plant Cell. 2010%2C 22:2926.","-","-","data"
"Os08t0196700-01","Os08g0196700","HAP2 subunit of HAP complex, Nuclear Factor Y (NF-YA) transcription factor, Drought stress tolerance","HAP2A, OsHAP2A, NF-YA, CBF-B, NF-YA7, OsNF-YA7","HAP2 SUBUNIT OF CCAAT-BOX BINDING COMPLEX, NUCLEAR FACTOR-Y subunit A7, NUCLEAR FACTOR-Y subunit NF-YA7, NF-YA transcription factor 7","HAP2A","HAP2 SUBUNIT OF CCAAT-BOX BINDING COMPLEX","OsHAP2A, NF-YA, CBF-B, NF-YA7, OsNF-YA7, NFYA7","NUCLEAR FACTOR-Y subunit A7, NUCLEAR FACTOR-Y subunit NF-YA7, NF-YA transcription factor 7, NF-YA subunit 7, NF-YA family 7","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: transcription factor activity, sequence-specific DNA binding (GO:0003700)","Nuclear transcription factor Y subunit A (IPR001289)","AK059903, AB288027","Q6Z065","-","26706071, 18193457","006-208-G09","8473","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data"
"Os08t0278900-01","Os08g0278900","MIR domain containing protein.","-","-","-","-","-","SDF2-like gene","Cellular Component: membrane (GO:0016020)","MIR (IPR003608), MIR motif (IPR016093)","AK100085 (DDBJ, Best hit)","NP_565585.1 (RefSeq)","-","-","J023002O21","10090","AT2G25110.1","1","protein_coding","stromal cell-derived factor 2-like protein precursor","Encodes an endoplasmic reticulum protein SDF2 (stromal-derived factor-2).  Forms a complex SDF2-ERdj3B-BiP that is required for the proper accumulation of the surface-exposed leucine-rich repeat receptor kinases EFR.  EFR is involved in PAMP (pathogen associated molecular patterns) triggered immunity.","""stromal cell-derived factor 2-like protein precursor (SDF2); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: defense response to bacterium, defense response to fungus, PAMP-induced immunity; LOCATED IN: endoplasmic reticulum, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: MIR (InterPro:IPR003608), MIR motif (InterPro:IPR016093)""","""AtSDF2,ATSDL,SDF2""","stromal cell-derived factor 2-like protein precursor","SDF2","""ATSDL,ATSDF2-LIKE,AtSDF2,Arabidopsis thaliana STROMAL CELL-DERIVED FACTOR 2-like protein precursor""","stromal cell-derived factor 2-like protein precursor","stromal cell-derived factor 2-like protein precursor (SDF2)%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: defense response to bacterium%2C defense response to fungus%2C PAMP-induced immunity%3B LOCATED IN: endoplasmic reticulum%2C membrane%3B EXPRESSED IN: 25 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: MIR (InterPro:IPR003608)%2C MIR motif (InterPro:IPR016093)%3B Has 1035 Blast hits to 992 proteins in 196 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 386%3B Fungi - 512%3B Plants - 64%3B Viruses - 0%3B Other Eukaryotes - 73 (source: NCBI BLink).","""PMID:12169696,PMID:12481097,PMID:15965014,PMID:15894741,PMID:15978049,PMID:16618929,PMID:18230180,PMID:18650403,PMID:18775970,PMID:19763086,PMID:20057059,PMID:21266257,PMID:24498907,locus:2040199""","protein_coding","Encodes an endoplasmic reticulum protein SDF2 (stromal-derived factor-2).  Forms a complex SDF2-ERdj3B-BiP that is required for the proper accumulation of the surface-exposed leucine-rich repeat receptor kinases EFR.  EFR is involved in PAMP (pathogen associated molecular patterns) triggered immunity.","-","-","data"
"Os08t0464000-01","Os08g0464000","Activator of Hsp90 ATPase homologue 1-like family protein.","-","-","-","-","-","-","Biological Process: response to stress (GO:0006950), Cellular Component: cytoplasm (GO:0005737), Molecular Function: ATPase activator activity (GO:0001671), Molecular Function: chaperone binding (GO:0051087)","Activator of Hsp90 ATPase homologue 1-like (IPR013538), Activator of Hsp90 ATPase, N-terminal (IPR015310), START-like domain (IPR023393)","AK059195 (DDBJ, Best hit)","B6U7Y1 (UniProt)","-","-","001-024-A01","-","AT3G12050.1","2","protein_coding","Aha1 domain-containing protein","NULL","""Aha1 domain-containing protein; FUNCTIONS IN: ATPase activator activity, chaperone binding; INVOLVED IN: response to stress; LOCATED IN: cytoplasm; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: Activator of Hsp90 ATPase, N-terminal (InterPro:IPR015310), Activator of Hsp90 ATPase homologue 1-like (InterPro:IPR013538)""","-","Aha1 domain-containing protein","-","-","-","Aha1 domain-containing protein%3B FUNCTIONS IN: ATPase activator activity%2C chaperone binding%3B INVOLVED IN: response to stress%3B LOCATED IN: cytoplasm%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 16 growth stages%3B CONTAINS InterPro DOMAIN/s: Activator of Hsp90 ATPase%2C N-terminal (InterPro:IPR015310)%2C Activator of Hsp90 ATPase homologue 1-like (InterPro:IPR013538)%3B Has 600 Blast hits to 579 proteins in 214 species: Archae - 0%3B Bacteria - 24%3B Metazoa - 217%3B Fungi - 180%3B Plants - 73%3B Viruses - 0%3B Other Eukaryotes - 106 (source: NCBI BLink).","""PMID:17085506,PMID:18775970,PMID:20118269,PMID:20736450,locus:2088649""","protein_coding","-","-","-","data"
"Os08t0500700-01","Os08g0500700","Similar to Heat shock protein 82.","-","-","HSP82A","HEAT SHOCK PROTEIN 82A","OsHSP82A, hsp82A, HSP90","Heat shock protein 82A","Biological Process: protein folding (GO:0006457), Biological Process: response to stress (GO:0006950), Molecular Function: ATP binding (GO:0005524), Molecular Function: unfolded protein binding (GO:0051082)","Heat shock protein Hsp90 (IPR001404), ATPase-like, ATP-binding domain (IPR003594), Ribosomal protein S5 domain 2-type fold (IPR020568), Heat shock protein Hsp90, N-terminal (IPR020575)","AK102426 (DDBJ, Best hit)","E0X6U7 (UniProt)","-","-","J033093F17","14443","AT5G56000.1","1","protein_coding","HEAT SHOCK PROTEIN 81.4","NULL","""HEAT SHOCK PROTEIN 81.4 (Hsp81.4); FUNCTIONS IN: unfolded protein binding, ATP binding; INVOLVED IN: protein folding, response to stress; LOCATED IN: cytosol, apoplast, cell wall, nucleus, plasma membrane; EXPRESSED IN: male gametophyte, cultured cell, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Chaperone protein htpG (InterPro:IPR001404), Heat shock protein Hsp90, conserved site (InterPro:IPR019805), Heat shock protein Hsp90, C-terminal (InterPro:IPR020576), Heat shock protein Hsp90, N-terminal (InterPro:IPR020575), Ribosomal protein S5 domain 2-type fold (InterPro:IPR020568), ATPase-like, ATP-binding domain (InterPro:IPR003594); BEST Arabidopsis thaliana protein match is: heat shock protein 81-3 (TAIR:AT5G56010.1)""","""AtHsp90.4,Hsp81.4""","HEAT SHOCK PROTEIN 81.4","Hsp81.4","""AtHsp90.4,HEAT SHOCK PROTEIN 90.4""","HEAT SHOCK PROTEIN 81.4","HEAT SHOCK PROTEIN 81.4 (Hsp81.4)%3B FUNCTIONS IN: unfolded protein binding%2C ATP binding%3B INVOLVED IN: protein folding%2C response to stress%3B LOCATED IN: cytosol%2C apoplast%2C cell wall%2C nucleus%2C plasma membrane%3B EXPRESSED IN: male gametophyte%2C cultured cell%2C pollen tube%3B EXPRESSED DURING: L mature pollen stage%2C M germinated pollen stage%3B CONTAINS InterPro DOMAIN/s: Chaperone protein htpG (InterPro:IPR001404)%2C Heat shock protein Hsp90%2C conserved site (InterPro:IPR019805)%2C Heat shock protein Hsp90%2C C-terminal (InterPro:IPR020576)%2C Heat shock protein Hsp90%2C N-terminal (InterPro:IPR020575)%2C Ribosomal protein S5 domain 2-type fold (InterPro:IPR020568)%2C ATPase-like%2C ATP-binding domain (InterPro:IPR003594)%3B BEST Arabidopsis thaliana protein match is: heat shock protein 81-3 (TAIR:AT5G56010.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).","""PMID:12427978,PMID:14504384,PMID:15247402,PMID:15582930,PMID:17085506,PMID:18433157,PMID:18650403,PMID:18783601,PMID:18775970,locus:2161775""","protein_coding","-","-","-","data"
"Os08t0500800-01","Os08g0500800","WLM domain containing protein.","-","-","-","-","-","-","Molecular Function: protein binding (GO:0005515)","PUG domain (IPR006567), WLM (IPR013536), PUB domain (IPR018997)","AK101328 (DDBJ, Best hit)","B8BC55 (UniProt)","-","-","J033034G12","-","AT5G35690.1","2","protein_coding","NULL","NULL","""CONTAINS InterPro DOMAIN/s: WLM (InterPro:IPR013536), PUB domain (InterPro:IPR018997), PUG domain (InterPro:IPR006567); BEST Arabidopsis thaliana protein match is: zinc ion binding (TAIR:AT1G55915.1)""","-","zinc metalloproteinase-like protein","-","-","-","CONTAINS InterPro DOMAIN/s: WLM (InterPro:IPR013536)%2C PUB domain (InterPro:IPR018997)%2C PUG domain (InterPro:IPR006567)%3B BEST Arabidopsis thaliana protein match is: zinc ion binding (TAIR:AT1G55915.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).","""PMID:11587532,locus:2177286""","protein_coding","-","-","-","data"
"Os08t0525600-01","Os08g0525600","Similar to Peptidylprolyl isomerase; FK506-binding protein.","-","-","-","-","OsFKBP62a, OsFKBP64","FK506 binding protein 62a, FK506 binding protein 64","Biological Process: protein folding (GO:0006457), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)","Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain (IPR001179), Tetratricopeptide TPR-1 (IPR001440), Tetratricopeptide-like helical (IPR011990), Tetratricopeptide repeat-containing (IPR013026), Tetratricopeptide repeat (IPR019734), Elongated TPR repeat-containing domain (IPR023114), Peptidyl-prolyl cis-trans isomerase, FKBP-type (IPR023566)","AK103172 (DDBJ, Best hit)","B6TI78 (UniProt)","-","-","J033121G16","10047","AT3G25230.1","2","protein_coding","rotamase FKBP 1","""Encodes a a high molecular weight member of the FK506 binding protein (FKBP) family.  It has three FKBP12-like domains, tetratricopeptide repeats, and a putative calmodulin binding domain. Modulates thermotolerance by interacting with HSP90.1 and affecting the accumulation of HsfA2-regulated sHSPs. Belongs to one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.""","""rotamase FKBP 1 (ROF1); FUNCTIONS IN: FK506 binding, peptidyl-prolyl cis-trans isomerase activity, calmodulin binding; INVOLVED IN: response to cadmium ion, response to heat, response to wounding; LOCATED IN: nucleus, cytoplasm; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Tetratricopeptide TPR-1 (InterPro:IPR001440), Tetratricopeptide-like helical (InterPro:IPR011990), Tetratricopeptide repeat-containing (InterPro:IPR013026), Tetratricopeptide repeat (InterPro:IPR019734), Peptidyl-prolyl cis-trans isomerase, FKBP-type (InterPro:IPR001179); BEST Arabidopsis thaliana protein match is: FKBP-type peptidyl-prolyl cis-trans isomerase family protein (TAIR:AT5G48570.1)""","""ATFKBP62,FKBP62,ROF1""","rotamase FKBP 1","ROF1","""ATFKBP62,FKBP62,FK506 BINDING PROTEIN 62""","rotamase FKBP 1","rotamase FKBP 1 (ROF1)%3B FUNCTIONS IN: FK506 binding%2C peptidyl-prolyl cis-trans isomerase activity%2C calmodulin binding%3B INVOLVED IN: response to cadmium ion%2C response to heat%2C response to wounding%3B LOCATED IN: nucleus%2C cytoplasm%3B EXPRESSED IN: 26 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: Tetratricopeptide TPR-1 (InterPro:IPR001440)%2C Tetratricopeptide-like helical (InterPro:IPR011990)%2C Tetratricopeptide repeat-containing (InterPro:IPR013026)%2C Tetratricopeptide repeat (InterPro:IPR019734)%2C Peptidyl-prolyl cis-trans isomerase%2C FKBP-type (InterPro:IPR001179)%3B BEST Arabidopsis thaliana protein match is: FKBP-type peptidyl-prolyl cis-trans isomerase family protein (TAIR:AT5G48570.1)%3B Has 23486 Blast hits to 15115 proteins in 1840 species: Archae - 212%3B Bacteria - 9362%3B Metazoa - 6200%3B Fungi - 1716%3B Plants - 1995%3B Viruses - 0%3B Other Eukaryotes - 4001 (source: NCBI BLink).","""PMID:8914512,PMID:11782485,PMID:15047905,PMID:15047901,PMID:15133126,PMID:16258011,PMID:16502469,PMID:16887800,PMID:17080288,PMID:18055584,PMID:18212028,PMID:18775970,PMID:19366428,PMID:19876748,PMID:20118269,PMID:20856808,PMID:22134914,PMID:22268595,PMID:23133621,PMID:24064926,locus:2090265""","protein_coding","Encodes a a high molecular weight member of the FK506 binding protein (FKBP) family.  It has three FKBP12-like domains%2C tetratricopeptide repeats%2C and a putative calmodulin binding domain. Modulates thermotolerance by interacting with HSP90.1 and affecting the accumulation of HsfA2-regulated sHSPs. Belongs to one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010%2C Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.","-","-","data"
